subj,session,trial,rt,object_response,category,condition,imagename
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,1,NaN,knife,knife,0,2561_rot_dnn_0_knife_20_n03041632_17100.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,2,NaN,knife,knife,0,2562_rot_dnn_0_knife_20_n03041632_25022.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,3,NaN,knife,knife,0,2563_rot_dnn_0_knife_20_n03041632_99799.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,4,NaN,knife,knife,0,2564_rot_dnn_0_knife_20_n03041632_3159.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,5,NaN,knife,knife,0,2565_rot_dnn_0_knife_20_n03041632_4975.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,6,NaN,knife,knife,0,2566_rot_dnn_0_knife_20_n03041632_42156.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,7,NaN,knife,knife,0,2567_rot_dnn_0_knife_20_n03041632_23968.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,8,NaN,knife,knife,0,2568_rot_dnn_0_knife_20_n03041632_22286.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,9,NaN,knife,knife,0,2569_rot_dnn_0_knife_20_n03041632_89391.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,10,NaN,knife,knife,0,2570_rot_dnn_0_knife_20_n03041632_26933.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,11,NaN,knife,knife,0,2571_rot_dnn_0_knife_20_n03041632_4806.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,12,NaN,knife,knife,0,2572_rot_dnn_0_knife_20_n03041632_17338.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,13,NaN,knife,knife,0,2573_rot_dnn_0_knife_20_n03041632_29355.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,14,NaN,knife,knife,0,2574_rot_dnn_0_knife_20_n03041632_94995.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,15,NaN,knife,knife,0,2575_rot_dnn_0_knife_20_n03041632_737.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,16,NaN,chair,knife,0,2576_rot_dnn_0_knife_20_n03041632_13518.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,17,NaN,knife,knife,0,2577_rot_dnn_0_knife_20_n03041632_30565.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,18,NaN,knife,knife,0,2578_rot_dnn_0_knife_20_n03041632_50332.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,19,NaN,knife,knife,0,2579_rot_dnn_0_knife_20_n03041632_84048.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,20,NaN,knife,knife,0,2580_rot_dnn_0_knife_20_n03041632_8151.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,21,NaN,keyboard,keyboard,0,2581_rot_dnn_0_keyboard_20_n04505470_5021.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,22,NaN,keyboard,keyboard,0,2582_rot_dnn_0_keyboard_20_n03085013_5568.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,23,NaN,keyboard,keyboard,0,2583_rot_dnn_0_keyboard_20_n03085013_4053.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,24,NaN,keyboard,keyboard,0,2584_rot_dnn_0_keyboard_20_n03085013_21231.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,25,NaN,keyboard,keyboard,0,2585_rot_dnn_0_keyboard_20_n03085013_30166.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,26,NaN,keyboard,keyboard,0,2586_rot_dnn_0_keyboard_20_n03085013_30660.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,27,NaN,keyboard,keyboard,0,2587_rot_dnn_0_keyboard_20_n03085013_21973.png
