subj,session,trial,rt,object_response,category,condition,imagename
specialised,1,1,,knife,knife,0,0001_rot_dnn_0_knife_20_n03041632_8618.png
specialised,1,2,,knife,knife,0,0002_rot_dnn_0_knife_20_n03041632_51256.png
specialised,1,3,,boat,knife,0,0003_rot_dnn_0_knife_20_n03041632_27898.png
specialised,1,4,,bottle,knife,0,0004_rot_dnn_0_knife_20_n03041632_32177.png
specialised,1,5,,knife,knife,0,0005_rot_dnn_0_knife_20_n03041632_23548.png
specialised,1,6,,knife,knife,0,0006_rot_dnn_0_knife_20_n03041632_41381.png
specialised,1,7,,knife,knife,0,0007_rot_dnn_0_knife_20_n03041632_24264.png
specialised,1,8,,knife,knife,0,0008_rot_dnn_0_knife_20_n03041632_45090.png
specialised,1,9,,knife,knife,0,0009_rot_dnn_0_knife_20_n03041632_87339.png
specialised,1,10,,oven,knife,0,0010_rot_dnn_0_knife_20_n03041632_96361.png
specialised,1,11,,knife,knife,0,0011_rot_dnn_0_knife_20_n03041632_7279.png
specialised,1,12,,knife,knife,0,0012_rot_dnn_0_knife_20_n03041632_44133.png
specialised,1,13,,knife,knife,0,0013_rot_dnn_0_knife_20_n03041632_49163.png
specialised,1,14,,chair,knife,0,0014_rot_dnn_0_knife_20_n03041632_18601.png
specialised,1,15,,bird,knife,0,0015_rot_dnn_0_knife_20_n03041632_99460.png
specialised,1,16,,knife,knife,0,0016_rot_dnn_0_knife_20_n03041632_30801.png
specialised,1,17,,knife,knife,0,0017_rot_dnn_0_knife_20_n03041632_9963.png
specialised,1,18,,knife,knife,0,0018_rot_dnn_0_knife_20_n03041632_11495.png
specialised,1,19,,knife,knife,0,0019_rot_dnn_0_knife_20_n03041632_4590.png
specialised,1,20,,knife,knife,0,0020_rot_dnn_0_knife_20_n03041632_23129.png
specialised,1,21,,keyboard,keyboard,0,0021_rot_dnn_0_keyboard_20_n03085013_21070.png
specialised,1,22,,keyboard,keyboard,0,0022_rot_dnn_0_keyboard_20_n04505470_5009.png
specialised,1,23,,keyboard,keyboard,0,0023_rot_dnn_0_keyboard_20_n03085013_3098.png
specialised,1,24,,keyboard,keyboard,0,0024_rot_dnn_0_keyboard_20_n03085013_20594.png
specialised,1,25,,keyboard,keyboard,0,0025_rot_dnn_0_keyboard_20_n04505470_3261.png
specialised,1,26,,keyboard,keyboard,0,0026_rot_dnn_0_keyboard_20_n04505470_8121.png
specialised,1,27,,keyboard,keyboard,0,0027_rot_dnn_0_keyboard_20_n04505470_64.png
specialised,1,28,,keyboard,keyboard,0,0028_rot_dnn_0_keyboard_20_n03085013_19687.png
specialised,1,29,,keyboard,keyboard,0,0029_rot_dnn_0_keyboard_20_n04505470_241.png
specialised,1,30,,keyboard,keyboard,0,0030_rot_dnn_0_keyboard_20_n03085013_23763.png
specialised,1,31,,keyboard,keyboard,0,0031_rot_dnn_0_keyboard_20_n03085013_20216.png
specialised,1,32,,keyboard,keyboard,0,0032_rot_dnn_0_keyboard_20_n03085013_23561.png
specialised,1,33,,keyboard,keyboard,0,0033_rot_dnn_0_keyboard_20_n04505470_4905.png
specialised,1,34,,keyboard,keyboard,0,0034_rot_dnn_0_keyboard_20_n03085013_32137.png
specialised,1,35,,keyboard,keyboard,0,0035_rot_dnn_0_keyboard_20_n04505470_590.png
specialised,1,36,,keyboard,keyboard,0,0036_rot_dnn_0_keyboard_20_n04505470_4109.png
specialised,1,37,,keyboard,keyboard,0,0037_rot_dnn_0_keyboard_20_n03085013_19818.png
specialised,1,38,,keyboard,keyboard,0,0038_rot_dnn_0_keyboard_20_n03085013_20990.png
specialised,1,39,,keyboard,keyboard,0,0039_rot_dnn_0_keyboard_20_n04505470_5175.png
specialised,1,40,,keyboard,keyboard,0,0040_rot_dnn_0_keyboard_20_n04505470_9473.png
specialised,1,41,,elephant,elephant,0,0041_rot_dnn_0_elephant_20_n02504013_6171.png
specialised,1,42,,elephant,elephant,0,0042_rot_dnn_0_elephant_20_n02504013_5918.png
specialised,1,43,,elephant,elephant,0,0043_rot_dnn_0_elephant_20_n02504458_574.png
specialised,1,44,,elephant,elephant,0,0044_rot_dnn_0_elephant_20_n02504458_804.png
specialised,1,45,,elephant,elephant,0,0045_rot_dnn_0_elephant_20_n02504013_2787.png
specialised,1,46,,elephant,elephant,0,0046_rot_dnn_0_elephant_20_n02504458_8126.png
specialised,1,47,,elephant,elephant,0,0047_rot_dnn_0_elephant_20_n02504458_341.png
specialised,1,48,,elephant,elephant,0,0048_rot_dnn_0_elephant_20_n02504458_5288.png
specialised,1,49,,elephant,elephant,0,0049_rot_dnn_0_elephant_20_n02504013_6880.png
