subj,session,trial,rt,object_response,category,condition,imagename
all-noise,2,1,,knife,knife,0.0,1281_sap_dnn_0.00_knife_10_n03041632_18863.png
all-noise,2,2,,knife,knife,0.0,1282_sap_dnn_0.00_knife_10_n03041632_20832.png
all-noise,2,3,,knife,knife,0.0,1283_sap_dnn_0.00_knife_10_n03041632_21345.png
all-noise,2,4,,knife,knife,0.0,1284_sap_dnn_0.00_knife_10_n03041632_15250.png
all-noise,2,5,,knife,knife,0.0,1285_sap_dnn_0.00_knife_10_n03041632_55953.png
all-noise,2,6,,knife,knife,0.0,1286_sap_dnn_0.00_knife_10_n03041632_32208.png
all-noise,2,7,,knife,knife,0.0,1287_sap_dnn_0.00_knife_10_n03041632_91967.png
all-noise,2,8,,knife,knife,0.0,1288_sap_dnn_0.00_knife_10_n03041632_46091.png
all-noise,2,9,,knife,knife,0.0,1289_sap_dnn_0.00_knife_10_n03041632_37618.png
all-noise,2,10,,knife,knife,0.0,1290_sap_dnn_0.00_knife_10_n03041632_8151.png
all-noise,2,11,,keyboard,keyboard,0.0,1291_sap_dnn_0.00_keyboard_10_n03085013_3002.png
all-noise,2,12,,keyboard,keyboard,0.0,1292_sap_dnn_0.00_keyboard_10_n03085013_17260.png
all-noise,2,13,,keyboard,keyboard,0.0,1293_sap_dnn_0.00_keyboard_10_n03085013_25575.png
all-noise,2,14,,dog,keyboard,0.0,1294_sap_dnn_0.00_keyboard_10_n03085013_18685.png
all-noise,2,15,,keyboard,keyboard,0.0,1295_sap_dnn_0.00_keyboard_10_n03085013_24464.png
all-noise,2,16,,keyboard,keyboard,0.0,1296_sap_dnn_0.00_keyboard_10_n03085013_19051.png
all-noise,2,17,,keyboard,keyboard,0.0,1297_sap_dnn_0.00_keyboard_10_n03085013_20553.png
all-noise,2,18,,keyboard,keyboard,0.0,1298_sap_dnn_0.00_keyboard_10_n04505470_1978.png
all-noise,2,19,,keyboard,keyboard,0.0,1299_sap_dnn_0.00_keyboard_10_n04505470_3207.png
all-noise,2,20,,keyboard,keyboard,0.0,1300_sap_dnn_0.00_keyboard_10_n04505470_4061.png
all-noise,2,21,,elephant,elephant,0.0,1301_sap_dnn_0.00_elephant_10_n02504013_7170.png
all-noise,2,22,,elephant,elephant,0.0,1302_sap_dnn_0.00_elephant_10_n02504013_10948.png
all-noise,2,23,,elephant,elephant,0.0,1303_sap_dnn_0.00_elephant_10_n02504013_11033.png
all-noise,2,24,,elephant,elephant,0.0,1304_sap_dnn_0.00_elephant_10_n02504013_25516.png
all-noise,2,25,,elephant,elephant,0.0,1305_sap_dnn_0.00_elephant_10_n02504458_5474.png
all-noise,2,26,,elephant,elephant,0.0,1306_sap_dnn_0.00_elephant_10_n02504013_6577.png
all-noise,2,27,,elephant,elephant,0.0,1307_sap_dnn_0.00_elephant_10_n02504458_5799.png
all-noise,2,28,,elephant,elephant,0.0,1308_sap_dnn_0.00_elephant_10_n02504013_2648.png
all-noise,2,29,,elephant,elephant,0.0,1309_sap_dnn_0.00_elephant_10_n02504458_7506.png
all-noise,2,30,,elephant,elephant,0.0,1310_sap_dnn_0.00_elephant_10_n02504013_1255.png
all-noise,2,31,,bicycle,bicycle,0.0,1311_sap_dnn_0.00_bicycle_10_n02835271_24131.png
all-noise,2,32,,bicycle,bicycle,0.0,1312_sap_dnn_0.00_bicycle_10_n03792782_11950.png
all-noise,2,33,,bicycle,bicycle,0.0,1313_sap_dnn_0.00_bicycle_10_n03792782_52010.png
all-noise,2,34,,bicycle,bicycle,0.0,1314_sap_dnn_0.00_bicycle_10_n02835271_26639.png
all-noise,2,35,,bicycle,bicycle,0.0,1315_sap_dnn_0.00_bicycle_10_n03792782_70708.png
all-noise,2,36,,bicycle,bicycle,0.0,1316_sap_dnn_0.00_bicycle_10_n03792782_71904.png
all-noise,2,37,,bicycle,bicycle,0.0,1317_sap_dnn_0.00_bicycle_10_n02835271_13303.png
all-noise,2,38,,bicycle,bicycle,0.0,1318_sap_dnn_0.00_bicycle_10_n03792782_8087.png
all-noise,2,39,,bicycle,bicycle,0.0,1319_sap_dnn_0.00_bicycle_10_n02835271_27610.png
all-noise,2,40,,bicycle,bicycle,0.0,1320_sap_dnn_0.00_bicycle_10_n03792782_15875.png
all-noise,2,41,,airplane,airplane,0.0,1321_sap_dnn_0.00_airplane_10_n02690373_2605.png
all-noise,2,42,,airplane,airplane,0.0,1322_sap_dnn_0.00_airplane_10_n02690373_12505.png
all-noise,2,43,,airplane,airplane,0.0,1323_sap_dnn_0.00_airplane_10_n02690373_8175.png
all-noise,2,44,,airplane,airplane,0.0,1324_sap_dnn_0.00_airplane_10_n02690373_6614.png
all-noise,2,45,,airplane,airplane,0.0,1325_sap_dnn_0.00_airplane_10_n02690373_6887.png
all-noise,2,46,,airplane,airplane,0.0,1326_sap_dnn_0.00_airplane_10_n02690373_5100.png
all-noise,2,47,,airplane,airplane,0.0,1327_sap_dnn_0.00_airplane_10_n02690373_7279.png
all-noise,2,48,,airplane,airplane,0.0,1328_sap_dnn_0.00_airplane_10_n02690373_866.png
all-noise,2,49,,airplane,airplane,0.0,1329_sap_dnn_0.00_airplane_10_n02690373_4070.png
all-noise,2,50,,airplane,airplane,0.0,1330_sap_dnn_0.00_airplane_10_n02690373_4201.png
all-noise,2,51,,clock,clock,0.0,1331_sap_dnn_0.00_clock_10_n04548280_3299.png
all-noise,2,52,,clock,clock,0.0,1332_sap_dnn_0.00_clock_10_n03196217_8956.png
all-noise,2,53,,clock,clock,0.0,1333_sap_dnn_0.00_clock_10_n02708093_2622.png
all-noise,2,54,,clock,clock,0.0,1334_sap_dnn_0.00_clock_10_n04548280_4306.png
all-noise,2,55,,clock,clock,0.0,1335_sap_dnn_0.00_clock_10_n04548280_1425.png
all-noise,2,56,,clock,clock,0.0,1336_sap_dnn_0.00_clock_10_n03196217_1962.png
all-noise,2,57,,clock,clock,0.0,1337_sap_dnn_0.00_clock_10_n04548280_7539.png
all-noise,2,58,,clock,clock,0.0,1338_sap_dnn_0.00_clock_10_n04548280_1132.png
all-noise,2,59,,airplane,clock,0.0,1339_sap_dnn_0.00_clock_10_n04548280_596.png
all-noise,2,60,,clock,clock,0.0,1340_sap_dnn_0.00_clock_10_n02708093_8340.png
all-noise,2,61,,oven,oven,0.0,1341_sap_dnn_0.00_oven_10_n04111531_5802.png
all-noise,2,62,,oven,oven,0.0,1342_sap_dnn_0.00_oven_10_n04111531_5737.png
all-noise,2,63,,oven,oven,0.0,1343_sap_dnn_0.00_oven_10_n04111531_7067.png
all-noise,2,64,,oven,oven,0.0,1344_sap_dnn_0.00_oven_10_n04111531_114.png
all-noise,2,65,,oven,oven,0.0,1345_sap_dnn_0.00_oven_10_n04111531_3702.png
all-noise,2,66,,oven,oven,0.0,1346_sap_dnn_0.00_oven_10_n04111531_20914.png
all-noise,2,67,,oven,oven,0.0,1347_sap_dnn_0.00_oven_10_n04111531_669.png
all-noise,2,68,,oven,oven,0.0,1348_sap_dnn_0.00_oven_10_n04111531_11868.png
all-noise,2,69,,oven,oven,0.0,1349_sap_dnn_0.00_oven_10_n04111531_585.png
all-noise,2,70,,oven,oven,0.0,1350_sap_dnn_0.00_oven_10_n04111531_3580.png
all-noise,2,71,,chair,chair,0.0,1351_sap_dnn_0.00_chair_10_n04099969_5577.png
all-noise,2,72,,chair,chair,0.0,1352_sap_dnn_0.00_chair_10_n02791124_2035.png
all-noise,2,73,,chair,chair,0.0,1353_sap_dnn_0.00_chair_10_n02791124_5109.png
all-noise,2,74,,chair,chair,0.0,1354_sap_dnn_0.00_chair_10_n03376595_629.png
all-noise,2,75,,chair,chair,0.0,1355_sap_dnn_0.00_chair_10_n02791124_7959.png
all-noise,2,76,,chair,chair,0.0,1356_sap_dnn_0.00_chair_10_n03376595_9753.png
all-noise,2,77,,chair,chair,0.0,1357_sap_dnn_0.00_chair_10_n02791124_7067.png
all-noise,2,78,,chair,chair,0.0,1358_sap_dnn_0.00_chair_10_n02791124_7193.png
all-noise,2,79,,chair,chair,0.0,1359_sap_dnn_0.00_chair_10_n04099969_2525.png
all-noise,2,80,,chair,chair,0.0,1360_sap_dnn_0.00_chair_10_n02791124_2725.png
