subj,session,trial,rt,object_response,category,condition,imagename
sixteen09--rotation-multiple,4,1,NaN,bird,knife,0.00,3841_sap_dnn_0.00_knife_10_n03041632_105080.png
sixteen09--rotation-multiple,4,2,NaN,knife,knife,0.00,3842_sap_dnn_0.00_knife_10_n03041632_4714.png
sixteen09--rotation-multiple,4,3,NaN,bottle,knife,0.00,3843_sap_dnn_0.00_knife_10_n03041632_3063.png
sixteen09--rotation-multiple,4,4,NaN,airplane,knife,0.00,3844_sap_dnn_0.00_knife_10_n03041632_55083.png
sixteen09--rotation-multiple,4,5,NaN,knife,knife,0.00,3845_sap_dnn_0.00_knife_10_n03041632_23803.png
sixteen09--rotation-multiple,4,6,NaN,bottle,knife,0.00,3846_sap_dnn_0.00_knife_10_n03041632_94202.png
sixteen09--rotation-multiple,4,7,NaN,knife,knife,0.00,3847_sap_dnn_0.00_knife_10_n03041632_18995.png
sixteen09--rotation-multiple,4,8,NaN,knife,knife,0.00,3848_sap_dnn_0.00_knife_10_n03041632_44238.png
sixteen09--rotation-multiple,4,9,NaN,bottle,knife,0.00,3849_sap_dnn_0.00_knife_10_n03041632_32774.png
sixteen09--rotation-multiple,4,10,NaN,bottle,knife,0.00,3850_sap_dnn_0.00_knife_10_n03041632_25257.png
sixteen09--rotation-multiple,4,11,NaN,keyboard,keyboard,0.00,3851_sap_dnn_0.00_keyboard_10_n03085013_18775.png
sixteen09--rotation-multiple,4,12,NaN,bottle,keyboard,0.00,3852_sap_dnn_0.00_keyboard_10_n04505470_2608.png
sixteen09--rotation-multiple,4,13,NaN,bottle,keyboard,0.00,3853_sap_dnn_0.00_keyboard_10_n03085013_7780.png
sixteen09--rotation-multiple,4,14,NaN,keyboard,keyboard,0.00,3854_sap_dnn_0.00_keyboard_10_n04505470_123.png
sixteen09--rotation-multiple,4,15,NaN,keyboard,keyboard,0.00,3855_sap_dnn_0.00_keyboard_10_n03085013_4374.png
sixteen09--rotation-multiple,4,16,NaN,keyboard,keyboard,0.00,3856_sap_dnn_0.00_keyboard_10_n03085013_24087.png
sixteen09--rotation-multiple,4,17,NaN,clock,keyboard,0.00,3857_sap_dnn_0.00_keyboard_10_n03085013_14844.png
sixteen09--rotation-multiple,4,18,NaN,keyboard,keyboard,0.00,3858_sap_dnn_0.00_keyboard_10_n03085013_20736.png
sixteen09--rotation-multiple,4,19,NaN,keyboard,keyboard,0.00,3859_sap_dnn_0.00_keyboard_10_n03085013_974.png
sixteen09--rotation-multiple,4,20,NaN,keyboard,keyboard,0.00,3860_sap_dnn_0.00_keyboard_10_n03085013_24103.png
sixteen09--rotation-multiple,4,21,NaN,bear,elephant,0.00,3861_sap_dnn_0.00_elephant_10_n02504013_4573.png
sixteen09--rotation-multiple,4,22,NaN,bird,elephant,0.00,3862_sap_dnn_0.00_elephant_10_n02504013_4116.png
sixteen09--rotation-multiple,4,23,NaN,elephant,elephant,0.00,3863_sap_dnn_0.00_elephant_10_n02504458_10439.png
sixteen09--rotation-multiple,4,24,NaN,elephant,elephant,0.00,3864_sap_dnn_0.00_elephant_10_n02504013_6544.png
sixteen09--rotation-multiple,4,25,NaN,elephant,elephant,0.00,3865_sap_dnn_0.00_elephant_10_n02504458_8936.png
sixteen09--rotation-multiple,4,26,NaN,elephant,elephant,0.00,3866_sap_dnn_0.00_elephant_10_n02504013_1854.png
sixteen09--rotation-multiple,4,27,NaN,bear,elephant,0.00,3867_sap_dnn_0.00_elephant_10_n02504458_6443.png
sixteen09--rotation-multiple,4,28,NaN,elephant,elephant,0.00,3868_sap_dnn_0.00_elephant_10_n02504013_7353.png
sixteen09--rotation-multiple,4,29,NaN,elephant,elephant,0.00,3869_sap_dnn_0.00_elephant_10_n02504458_3816.png
sixteen09--rotation-multiple,4,30,NaN,elephant,elephant,0.00,3870_sap_dnn_0.00_elephant_10_n02504458_7472.png
sixteen09--rotation-multiple,4,31,NaN,bottle,bicycle,0.00,3871_sap_dnn_0.00_bicycle_10_n02835271_31221.png
sixteen09--rotation-multiple,4,32,NaN,bicycle,bicycle,0.00,3872_sap_dnn_0.00_bicycle_10_n03792782_1240.png
sixteen09--rotation-multiple,4,33,NaN,boat,bicycle,0.00,3873_sap_dnn_0.00_bicycle_10_n02835271_21043.png
sixteen09--rotation-multiple,4,34,NaN,chair,bicycle,0.00,3874_sap_dnn_0.00_bicycle_10_n02835271_14123.png
sixteen09--rotation-multiple,4,35,NaN,chair,bicycle,0.00,3875_sap_dnn_0.00_bicycle_10_n02835271_8632.png
sixteen09--rotation-multiple,4,36,NaN,clock,bicycle,0.00,3876_sap_dnn_0.00_bicycle_10_n02835271_845.png
sixteen09--rotation-multiple,4,37,NaN,bicycle,bicycle,0.00,3877_sap_dnn_0.00_bicycle_10_n02835271_25744.png
sixteen09--rotation-multiple,4,38,NaN,clock,bicycle,0.00,3878_sap_dnn_0.00_bicycle_10_n03792782_51004.png
sixteen09--rotation-multiple,4,39,NaN,bottle,bicycle,0.00,3879_sap_dnn_0.00_bicycle_10_n03792782_6058.png
sixteen09--rotation-multiple,4,40,NaN,chair,bicycle,0.00,3880_sap_dnn_0.00_bicycle_10_n02835271_7592.png
sixteen09--rotation-multiple,4,41,NaN,airplane,airplane,0.00,3881_sap_dnn_0.00_airplane_10_n02690373_6999.png
sixteen09--rotation-multiple,4,42,NaN,airplane,airplane,0.00,3882_sap_dnn_0.00_airplane_10_n02690373_6929.png
sixteen09--rotation-multiple,4,43,NaN,airplane,airplane,0.00,3883_sap_dnn_0.00_airplane_10_n02690373_21731.png
sixteen09--rotation-multiple,4,44,NaN,airplane,airplane,0.00,3884_sap_dnn_0.00_airplane_10_n02690373_807.png
sixteen09--rotation-multiple,4,45,NaN,airplane,airplane,0.00,3885_sap_dnn_0.00_airplane_10_n02690373_8304.png
sixteen09--rotation-multiple,4,46,NaN,airplane,airplane,0.00,3886_sap_dnn_0.00_airplane_10_n02690373_2882.png
sixteen09--rotation-multiple,4,47,NaN,airplane,airplane,0.00,3887_sap_dnn_0.00_airplane_10_n02690373_5130.png
sixteen09--rotation-multiple,4,48,NaN,airplane,airplane,0.00,3888_sap_dnn_0.00_airplane_10_n02690373_7432.png
sixteen09--rotation-multiple,4,49,NaN,airplane,airplane,0.00,3889_sap_dnn_0.00_airplane_10_n02690373_6210.png
sixteen09--rotation-multiple,4,50,NaN,airplane,airplane,0.00,3890_sap_dnn_0.00_airplane_10_n02690373_1491.png
sixteen09--rotation-multiple,4,51,NaN,clock,clock,0.00,3891_sap_dnn_0.00_clock_10_n04548280_4327.png
sixteen09--rotation-multiple,4,52,NaN,clock,clock,0.00,3892_sap_dnn_0.00_clock_10_n04548280_2312.png
sixteen09--rotation-multiple,4,53,NaN,bottle,clock,0.00,3893_sap_dnn_0.00_clock_10_n02708093_7143.png
sixteen09--rotation-multiple,4,54,NaN,clock,clock,0.00,3894_sap_dnn_0.00_clock_10_n03196217_6195.png
