subj,session,trial,rt,object_response,category,condition,imagename
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,1,NaN,knife,knife,0.00,0001_sap_dnn_0.00_knife_10_n03041632_15431.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,2,NaN,knife,knife,0.00,0002_sap_dnn_0.00_knife_10_n03041632_44212.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,3,NaN,knife,knife,0.00,0003_sap_dnn_0.00_knife_10_n03041632_16606.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,4,NaN,knife,knife,0.00,0004_sap_dnn_0.00_knife_10_n03041632_20504.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,5,NaN,knife,knife,0.00,0005_sap_dnn_0.00_knife_10_n03041632_4708.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,6,NaN,knife,knife,0.00,0006_sap_dnn_0.00_knife_10_n03041632_43634.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,7,NaN,knife,knife,0.00,0007_sap_dnn_0.00_knife_10_n03041632_52040.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,8,NaN,knife,knife,0.00,0008_sap_dnn_0.00_knife_10_n03041632_21859.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,9,NaN,knife,knife,0.00,0009_sap_dnn_0.00_knife_10_n03041632_22330.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,10,NaN,knife,knife,0.00,0010_sap_dnn_0.00_knife_10_n03041632_55140.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,11,NaN,keyboard,keyboard,0.00,0011_sap_dnn_0.00_keyboard_10_n04505470_1568.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,12,NaN,keyboard,keyboard,0.00,0012_sap_dnn_0.00_keyboard_10_n03085013_21880.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,13,NaN,keyboard,keyboard,0.00,0013_sap_dnn_0.00_keyboard_10_n04505470_4592.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,14,NaN,keyboard,keyboard,0.00,0014_sap_dnn_0.00_keyboard_10_n03085013_23749.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,15,NaN,keyboard,keyboard,0.00,0015_sap_dnn_0.00_keyboard_10_n04505470_5151.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,16,NaN,chair,keyboard,0.00,0016_sap_dnn_0.00_keyboard_10_n03085013_22386.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,17,NaN,keyboard,keyboard,0.00,0017_sap_dnn_0.00_keyboard_10_n03085013_4999.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,18,NaN,keyboard,keyboard,0.00,0018_sap_dnn_0.00_keyboard_10_n03085013_30166.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,19,NaN,keyboard,keyboard,0.00,0019_sap_dnn_0.00_keyboard_10_n03085013_20186.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,20,NaN,keyboard,keyboard,0.00,0020_sap_dnn_0.00_keyboard_10_n03085013_5141.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,21,NaN,elephant,elephant,0.00,0021_sap_dnn_0.00_elephant_10_n02504458_4939.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,22,NaN,elephant,elephant,0.00,0022_sap_dnn_0.00_elephant_10_n02504013_5734.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,23,NaN,elephant,elephant,0.00,0023_sap_dnn_0.00_elephant_10_n02504013_10303.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,24,NaN,elephant,elephant,0.00,0024_sap_dnn_0.00_elephant_10_n02504013_6462.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,25,NaN,elephant,elephant,0.00,0025_sap_dnn_0.00_elephant_10_n02504458_2841.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,26,NaN,elephant,elephant,0.00,0026_sap_dnn_0.00_elephant_10_n02504013_10310.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,27,NaN,elephant,elephant,0.00,0027_sap_dnn_0.00_elephant_10_n02504458_5600.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,28,NaN,elephant,elephant,0.00,0028_sap_dnn_0.00_elephant_10_n02504013_9614.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,29,NaN,elephant,elephant,0.00,0029_sap_dnn_0.00_elephant_10_n02504458_5331.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,30,NaN,elephant,elephant,0.00,0030_sap_dnn_0.00_elephant_10_n02504013_7368.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,31,NaN,bicycle,bicycle,0.00,0031_sap_dnn_0.00_bicycle_10_n02835271_22996.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,32,NaN,bicycle,bicycle,0.00,0032_sap_dnn_0.00_bicycle_10_n03792782_4550.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,33,NaN,bicycle,bicycle,0.00,0033_sap_dnn_0.00_bicycle_10_n03792782_16351.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,34,NaN,bicycle,bicycle,0.00,0034_sap_dnn_0.00_bicycle_10_n03792782_18734.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,35,NaN,bicycle,bicycle,0.00,0035_sap_dnn_0.00_bicycle_10_n02835271_7597.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,36,NaN,bicycle,bicycle,0.00,0036_sap_dnn_0.00_bicycle_10_n03792782_7108.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,37,NaN,bicycle,bicycle,0.00,0037_sap_dnn_0.00_bicycle_10_n03792782_15808.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,38,NaN,bicycle,bicycle,0.00,0038_sap_dnn_0.00_bicycle_10_n03792782_5323.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,39,NaN,bicycle,bicycle,0.00,0039_sap_dnn_0.00_bicycle_10_n03792782_6194.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,40,NaN,bicycle,bicycle,0.00,0040_sap_dnn_0.00_bicycle_10_n03792782_613.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,41,NaN,airplane,airplane,0.00,0041_sap_dnn_0.00_airplane_10_n02690373_6147.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,42,NaN,airplane,airplane,0.00,0042_sap_dnn_0.00_airplane_10_n02690373_243.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,43,NaN,airplane,airplane,0.00,0043_sap_dnn_0.00_airplane_10_n02690373_10112.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,44,NaN,airplane,airplane,0.00,0044_sap_dnn_0.00_airplane_10_n02690373_4243.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,45,NaN,airplane,airplane,0.00,0045_sap_dnn_0.00_airplane_10_n02690373_11799.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,46,NaN,airplane,airplane,0.00,0046_sap_dnn_0.00_airplane_10_n02690373_10051.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,1,47,NaN,airplane,airplane,0.00,0047_sap_dnn_0.00_airplane_10_n02690373_1075.png
