subj,session,trial,rt,object_response,category,condition,imagename
sixteen21--salt-and-pepper-noise-multiple,2,1,NaN,clock,knife,0.00,1281_sap_dnn_0.00_knife_10_n03041632_18863.png
sixteen21--salt-and-pepper-noise-multiple,2,2,NaN,knife,knife,0.00,1282_sap_dnn_0.00_knife_10_n03041632_20832.png
sixteen21--salt-and-pepper-noise-multiple,2,3,NaN,dog,knife,0.00,1283_sap_dnn_0.00_knife_10_n03041632_21345.png
sixteen21--salt-and-pepper-noise-multiple,2,4,NaN,knife,knife,0.00,1284_sap_dnn_0.00_knife_10_n03041632_15250.png
sixteen21--salt-and-pepper-noise-multiple,2,5,NaN,keyboard,knife,0.00,1285_sap_dnn_0.00_knife_10_n03041632_55953.png
sixteen21--salt-and-pepper-noise-multiple,2,6,NaN,knife,knife,0.00,1286_sap_dnn_0.00_knife_10_n03041632_32208.png
sixteen21--salt-and-pepper-noise-multiple,2,7,NaN,chair,knife,0.00,1287_sap_dnn_0.00_knife_10_n03041632_91967.png
sixteen21--salt-and-pepper-noise-multiple,2,8,NaN,knife,knife,0.00,1288_sap_dnn_0.00_knife_10_n03041632_46091.png
sixteen21--salt-and-pepper-noise-multiple,2,9,NaN,bird,knife,0.00,1289_sap_dnn_0.00_knife_10_n03041632_37618.png
sixteen21--salt-and-pepper-noise-multiple,2,10,NaN,knife,knife,0.00,1290_sap_dnn_0.00_knife_10_n03041632_8151.png
sixteen21--salt-and-pepper-noise-multiple,2,11,NaN,keyboard,keyboard,0.00,1291_sap_dnn_0.00_keyboard_10_n03085013_3002.png
sixteen21--salt-and-pepper-noise-multiple,2,12,NaN,keyboard,keyboard,0.00,1292_sap_dnn_0.00_keyboard_10_n03085013_17260.png
sixteen21--salt-and-pepper-noise-multiple,2,13,NaN,keyboard,keyboard,0.00,1293_sap_dnn_0.00_keyboard_10_n03085013_25575.png
sixteen21--salt-and-pepper-noise-multiple,2,14,NaN,dog,keyboard,0.00,1294_sap_dnn_0.00_keyboard_10_n03085013_18685.png
sixteen21--salt-and-pepper-noise-multiple,2,15,NaN,keyboard,keyboard,0.00,1295_sap_dnn_0.00_keyboard_10_n03085013_24464.png
sixteen21--salt-and-pepper-noise-multiple,2,16,NaN,keyboard,keyboard,0.00,1296_sap_dnn_0.00_keyboard_10_n03085013_19051.png
sixteen21--salt-and-pepper-noise-multiple,2,17,NaN,keyboard,keyboard,0.00,1297_sap_dnn_0.00_keyboard_10_n03085013_20553.png
sixteen21--salt-and-pepper-noise-multiple,2,18,NaN,truck,keyboard,0.00,1298_sap_dnn_0.00_keyboard_10_n04505470_1978.png
sixteen21--salt-and-pepper-noise-multiple,2,19,NaN,keyboard,keyboard,0.00,1299_sap_dnn_0.00_keyboard_10_n04505470_3207.png
sixteen21--salt-and-pepper-noise-multiple,2,20,NaN,keyboard,keyboard,0.00,1300_sap_dnn_0.00_keyboard_10_n04505470_4061.png
sixteen21--salt-and-pepper-noise-multiple,2,21,NaN,elephant,elephant,0.00,1301_sap_dnn_0.00_elephant_10_n02504013_7170.png
sixteen21--salt-and-pepper-noise-multiple,2,22,NaN,elephant,elephant,0.00,1302_sap_dnn_0.00_elephant_10_n02504013_10948.png
sixteen21--salt-and-pepper-noise-multiple,2,23,NaN,elephant,elephant,0.00,1303_sap_dnn_0.00_elephant_10_n02504013_11033.png
sixteen21--salt-and-pepper-noise-multiple,2,24,NaN,bicycle,elephant,0.00,1304_sap_dnn_0.00_elephant_10_n02504013_25516.png
sixteen21--salt-and-pepper-noise-multiple,2,25,NaN,dog,elephant,0.00,1305_sap_dnn_0.00_elephant_10_n02504458_5474.png
sixteen21--salt-and-pepper-noise-multiple,2,26,NaN,dog,elephant,0.00,1306_sap_dnn_0.00_elephant_10_n02504013_6577.png
sixteen21--salt-and-pepper-noise-multiple,2,27,NaN,elephant,elephant,0.00,1307_sap_dnn_0.00_elephant_10_n02504458_5799.png
sixteen21--salt-and-pepper-noise-multiple,2,28,NaN,elephant,elephant,0.00,1308_sap_dnn_0.00_elephant_10_n02504013_2648.png
sixteen21--salt-and-pepper-noise-multiple,2,29,NaN,elephant,elephant,0.00,1309_sap_dnn_0.00_elephant_10_n02504458_7506.png
sixteen21--salt-and-pepper-noise-multiple,2,30,NaN,elephant,elephant,0.00,1310_sap_dnn_0.00_elephant_10_n02504013_1255.png
sixteen21--salt-and-pepper-noise-multiple,2,31,NaN,bicycle,bicycle,0.00,1311_sap_dnn_0.00_bicycle_10_n02835271_24131.png
sixteen21--salt-and-pepper-noise-multiple,2,32,NaN,bicycle,bicycle,0.00,1312_sap_dnn_0.00_bicycle_10_n03792782_11950.png
sixteen21--salt-and-pepper-noise-multiple,2,33,NaN,bicycle,bicycle,0.00,1313_sap_dnn_0.00_bicycle_10_n03792782_52010.png
sixteen21--salt-and-pepper-noise-multiple,2,34,NaN,bicycle,bicycle,0.00,1314_sap_dnn_0.00_bicycle_10_n02835271_26639.png
sixteen21--salt-and-pepper-noise-multiple,2,35,NaN,bicycle,bicycle,0.00,1315_sap_dnn_0.00_bicycle_10_n03792782_70708.png
sixteen21--salt-and-pepper-noise-multiple,2,36,NaN,bicycle,bicycle,0.00,1316_sap_dnn_0.00_bicycle_10_n03792782_71904.png
sixteen21--salt-and-pepper-noise-multiple,2,37,NaN,bicycle,bicycle,0.00,1317_sap_dnn_0.00_bicycle_10_n02835271_13303.png
sixteen21--salt-and-pepper-noise-multiple,2,38,NaN,bicycle,bicycle,0.00,1318_sap_dnn_0.00_bicycle_10_n03792782_8087.png
sixteen21--salt-and-pepper-noise-multiple,2,39,NaN,truck,bicycle,0.00,1319_sap_dnn_0.00_bicycle_10_n02835271_27610.png
sixteen21--salt-and-pepper-noise-multiple,2,40,NaN,bicycle,bicycle,0.00,1320_sap_dnn_0.00_bicycle_10_n03792782_15875.png
sixteen21--salt-and-pepper-noise-multiple,2,41,NaN,airplane,airplane,0.00,1321_sap_dnn_0.00_airplane_10_n02690373_2605.png
sixteen21--salt-and-pepper-noise-multiple,2,42,NaN,airplane,airplane,0.00,1322_sap_dnn_0.00_airplane_10_n02690373_12505.png
sixteen21--salt-and-pepper-noise-multiple,2,43,NaN,airplane,airplane,0.00,1323_sap_dnn_0.00_airplane_10_n02690373_8175.png
sixteen21--salt-and-pepper-noise-multiple,2,44,NaN,airplane,airplane,0.00,1324_sap_dnn_0.00_airplane_10_n02690373_6614.png
sixteen21--salt-and-pepper-noise-multiple,2,45,NaN,airplane,airplane,0.00,1325_sap_dnn_0.00_airplane_10_n02690373_6887.png
sixteen21--salt-and-pepper-noise-multiple,2,46,NaN,airplane,airplane,0.00,1326_sap_dnn_0.00_airplane_10_n02690373_5100.png
sixteen21--salt-and-pepper-noise-multiple,2,47,NaN,airplane,airplane,0.00,1327_sap_dnn_0.00_airplane_10_n02690373_7279.png
sixteen21--salt-and-pepper-noise-multiple,2,48,NaN,airplane,airplane,0.00,1328_sap_dnn_0.00_airplane_10_n02690373_866.png
sixteen21--salt-and-pepper-noise-multiple,2,49,NaN,airplane,airplane,0.00,1329_sap_dnn_0.00_airplane_10_n02690373_4070.png
sixteen21--salt-and-pepper-noise-multiple,2,50,NaN,airplane,airplane,0.00,1330_sap_dnn_0.00_airplane_10_n02690373_4201.png
sixteen21--salt-and-pepper-noise-multiple,2,51,NaN,clock,clock,0.00,1331_sap_dnn_0.00_clock_10_n04548280_3299.png
sixteen21--salt-and-pepper-noise-multiple,2,52,NaN,clock,clock,0.00,1332_sap_dnn_0.00_clock_10_n03196217_8956.png
sixteen21--salt-and-pepper-noise-multiple,2,53,NaN,bottle,clock,0.00,1333_sap_dnn_0.00_clock_10_n02708093_2622.png
sixteen21--salt-and-pepper-noise-multiple,2,54,NaN,clock,clock,0.00,1334_sap_dnn_0.00_clock_10_n04548280_4306.png
sixteen21--salt-and-pepper-noise-multiple,2,55,NaN,clock,clock,0.00,1335_sap_dnn_0.00_clock_10_n04548280_1425.png
sixteen21--salt-and-pepper-noise-multiple,2,56,NaN,clock,clock,0.00,1336_sap_dnn_0.00_clock_10_n03196217_1962.png
sixteen21--salt-and-pepper-noise-multiple,2,57,NaN,clock,clock,0.00,1337_sap_dnn_0.00_clock_10_n04548280_7539.png
sixteen21--salt-and-pepper-noise-multiple,2,58,NaN,clock,clock,0.00,1338_sap_dnn_0.00_clock_10_n04548280_1132.png
sixteen21--salt-and-pepper-noise-multiple,2,59,NaN,clock,clock,0.00,1339_sap_dnn_0.00_clock_10_n04548280_596.png
sixteen21--salt-and-pepper-noise-multiple,2,60,NaN,clock,clock,0.00,1340_sap_dnn_0.00_clock_10_n02708093_8340.png
sixteen21--salt-and-pepper-noise-multiple,2,61,NaN,oven,oven,0.00,1341_sap_dnn_0.00_oven_10_n04111531_5802.png
sixteen21--salt-and-pepper-noise-multiple,2,62,NaN,oven,oven,0.00,1342_sap_dnn_0.00_oven_10_n04111531_5737.png
sixteen21--salt-and-pepper-noise-multiple,2,63,NaN,oven,oven,0.00,1343_sap_dnn_0.00_oven_10_n04111531_7067.png
sixteen21--salt-and-pepper-noise-multiple,2,64,NaN,oven,oven,0.00,1344_sap_dnn_0.00_oven_10_n04111531_114.png
sixteen21--salt-and-pepper-noise-multiple,2,65,NaN,oven,oven,0.00,1345_sap_dnn_0.00_oven_10_n04111531_3702.png
sixteen21--salt-and-pepper-noise-multiple,2,66,NaN,oven,oven,0.00,1346_sap_dnn_0.00_oven_10_n04111531_20914.png
sixteen21--salt-and-pepper-noise-multiple,2,67,NaN,oven,oven,0.00,1347_sap_dnn_0.00_oven_10_n04111531_669.png
sixteen21--salt-and-pepper-noise-multiple,2,68,NaN,oven,oven,0.00,1348_sap_dnn_0.00_oven_10_n04111531_11868.png
sixteen21--salt-and-pepper-noise-multiple,2,69,NaN,oven,oven,0.00,1349_sap_dnn_0.00_oven_10_n04111531_585.png
sixteen21--salt-and-pepper-noise-multiple,2,70,NaN,oven,oven,0.00,1350_sap_dnn_0.00_oven_10_n04111531_3580.png
sixteen21--salt-and-pepper-noise-multiple,2,71,NaN,chair,chair,0.00,1351_sap_dnn_0.00_chair_10_n04099969_5577.png
sixteen21--salt-and-pepper-noise-multiple,2,72,NaN,chair,chair,0.00,1352_sap_dnn_0.00_chair_10_n02791124_2035.png
sixteen21--salt-and-pepper-noise-multiple,2,73,NaN,chair,chair,0.00,1353_sap_dnn_0.00_chair_10_n02791124_5109.png
sixteen21--salt-and-pepper-noise-multiple,2,74,NaN,chair,chair,0.00,1354_sap_dnn_0.00_chair_10_n03376595_629.png
sixteen21--salt-and-pepper-noise-multiple,2,75,NaN,chair,chair,0.00,1355_sap_dnn_0.00_chair_10_n02791124_7959.png
sixteen21--salt-and-pepper-noise-multiple,2,76,NaN,chair,chair,0.00,1356_sap_dnn_0.00_chair_10_n03376595_9753.png
sixteen21--salt-and-pepper-noise-multiple,2,77,NaN,chair,chair,0.00,1357_sap_dnn_0.00_chair_10_n02791124_7067.png
sixteen21--salt-and-pepper-noise-multiple,2,78,NaN,chair,chair,0.00,1358_sap_dnn_0.00_chair_10_n02791124_7193.png
sixteen21--salt-and-pepper-noise-multiple,2,79,NaN,chair,chair,0.00,1359_sap_dnn_0.00_chair_10_n04099969_2525.png
sixteen21--salt-and-pepper-noise-multiple,2,80,NaN,clock,chair,0.00,1360_sap_dnn_0.00_chair_10_n02791124_2725.png
sixteen21--salt-and-pepper-noise-multiple,2,81,NaN,bear,bear,0.00,1361_sap_dnn_0.00_bear_10_n02133161_2270.png
sixteen21--salt-and-pepper-noise-multiple,2,82,NaN,bear,bear,0.00,1362_sap_dnn_0.00_bear_10_n02134418_2569.png
sixteen21--salt-and-pepper-noise-multiple,2,83,NaN,bear,bear,0.00,1363_sap_dnn_0.00_bear_10_n02134084_23687.png
sixteen21--salt-and-pepper-noise-multiple,2,84,NaN,bird,bear,0.00,1364_sap_dnn_0.00_bear_10_n02134084_15510.png
sixteen21--salt-and-pepper-noise-multiple,2,85,NaN,bear,bear,0.00,1365_sap_dnn_0.00_bear_10_n02132136_3196.png
sixteen21--salt-and-pepper-noise-multiple,2,86,NaN,bear,bear,0.00,1366_sap_dnn_0.00_bear_10_n02134418_500.png
sixteen21--salt-and-pepper-noise-multiple,2,87,NaN,bear,bear,0.00,1367_sap_dnn_0.00_bear_10_n02134418_1019.png
sixteen21--salt-and-pepper-noise-multiple,2,88,NaN,bear,bear,0.00,1368_sap_dnn_0.00_bear_10_n02134084_1961.png
sixteen21--salt-and-pepper-noise-multiple,2,89,NaN,bear,bear,0.00,1369_sap_dnn_0.00_bear_10_n02134084_27229.png
sixteen21--salt-and-pepper-noise-multiple,2,90,NaN,bear,bear,0.00,1370_sap_dnn_0.00_bear_10_n02133161_331.png
sixteen21--salt-and-pepper-noise-multiple,2,91,NaN,boat,boat,0.00,1371_sap_dnn_0.00_boat_10_n02951358_12011.png
sixteen21--salt-and-pepper-noise-multiple,2,92,NaN,boat,boat,0.00,1372_sap_dnn_0.00_boat_10_n02951358_7719.png
sixteen21--salt-and-pepper-noise-multiple,2,93,NaN,cat,boat,0.00,1373_sap_dnn_0.00_boat_10_n02951358_3470.png
