subj,session,trial,rt,object_response,category,condition,imagename
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,1,NaN,knife,knife,0.00,2561_sap_dnn_0.00_knife_10_n03041632_11495.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,2,NaN,knife,knife,0.00,2562_sap_dnn_0.00_knife_10_n03041632_50423.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,3,NaN,knife,knife,0.00,2563_sap_dnn_0.00_knife_10_n03041632_96345.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,4,NaN,knife,knife,0.00,2564_sap_dnn_0.00_knife_10_n03041632_13465.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,5,NaN,knife,knife,0.00,2565_sap_dnn_0.00_knife_10_n03041632_3781.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,6,NaN,knife,knife,0.00,2566_sap_dnn_0.00_knife_10_n03041632_90407.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,7,NaN,knife,knife,0.00,2567_sap_dnn_0.00_knife_10_n03041632_42196.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,8,NaN,knife,knife,0.00,2568_sap_dnn_0.00_knife_10_n03041632_23968.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,9,NaN,knife,knife,0.00,2569_sap_dnn_0.00_knife_10_n03041632_25331.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,10,NaN,knife,knife,0.00,2570_sap_dnn_0.00_knife_10_n03041632_29285.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,11,NaN,keyboard,keyboard,0.00,2571_sap_dnn_0.00_keyboard_10_n03085013_24578.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,12,NaN,keyboard,keyboard,0.00,2572_sap_dnn_0.00_keyboard_10_n03085013_18763.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,13,NaN,keyboard,keyboard,0.00,2573_sap_dnn_0.00_keyboard_10_n03085013_9653.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,14,NaN,keyboard,keyboard,0.00,2574_sap_dnn_0.00_keyboard_10_n03085013_24217.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,15,NaN,keyboard,keyboard,0.00,2575_sap_dnn_0.00_keyboard_10_n04505470_1648.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,16,NaN,keyboard,keyboard,0.00,2576_sap_dnn_0.00_keyboard_10_n03085013_23535.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,17,NaN,keyboard,keyboard,0.00,2577_sap_dnn_0.00_keyboard_10_n04505470_1183.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,18,NaN,keyboard,keyboard,0.00,2578_sap_dnn_0.00_keyboard_10_n04505470_1816.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,19,NaN,keyboard,keyboard,0.00,2579_sap_dnn_0.00_keyboard_10_n04505470_4906.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,20,NaN,keyboard,keyboard,0.00,2580_sap_dnn_0.00_keyboard_10_n03085013_23100.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,21,NaN,elephant,elephant,0.00,2581_sap_dnn_0.00_elephant_10_n02504013_2986.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,22,NaN,elephant,elephant,0.00,2582_sap_dnn_0.00_elephant_10_n02504013_7500.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,23,NaN,elephant,elephant,0.00,2583_sap_dnn_0.00_elephant_10_n02504013_1878.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,24,NaN,elephant,elephant,0.00,2584_sap_dnn_0.00_elephant_10_n02504458_9281.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,25,NaN,elephant,elephant,0.00,2585_sap_dnn_0.00_elephant_10_n02504013_13489.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,26,NaN,elephant,elephant,0.00,2586_sap_dnn_0.00_elephant_10_n02504458_4883.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,27,NaN,elephant,elephant,0.00,2587_sap_dnn_0.00_elephant_10_n02504013_9775.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,28,NaN,elephant,elephant,0.00,2588_sap_dnn_0.00_elephant_10_n02504013_26899.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,29,NaN,elephant,elephant,0.00,2589_sap_dnn_0.00_elephant_10_n02504013_2269.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,30,NaN,elephant,elephant,0.00,2590_sap_dnn_0.00_elephant_10_n02504458_5131.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,31,NaN,bicycle,bicycle,0.00,2591_sap_dnn_0.00_bicycle_10_n02835271_2651.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,32,NaN,bicycle,bicycle,0.00,2592_sap_dnn_0.00_bicycle_10_n02835271_5354.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,33,NaN,bicycle,bicycle,0.00,2593_sap_dnn_0.00_bicycle_10_n03792782_12561.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,34,NaN,bicycle,bicycle,0.00,2594_sap_dnn_0.00_bicycle_10_n03792782_5893.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,35,NaN,chair,bicycle,0.00,2595_sap_dnn_0.00_bicycle_10_n03792782_3765.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,36,NaN,bicycle,bicycle,0.00,2596_sap_dnn_0.00_bicycle_10_n02835271_19565.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,37,NaN,bicycle,bicycle,0.00,2597_sap_dnn_0.00_bicycle_10_n02835271_381.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,38,NaN,bicycle,bicycle,0.00,2598_sap_dnn_0.00_bicycle_10_n03792782_20234.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,39,NaN,bicycle,bicycle,0.00,2599_sap_dnn_0.00_bicycle_10_n02835271_1425.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,40,NaN,bottle,bicycle,0.00,2600_sap_dnn_0.00_bicycle_10_n03792782_51860.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,41,NaN,airplane,airplane,0.00,2601_sap_dnn_0.00_airplane_10_n02690373_18460.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,42,NaN,airplane,airplane,0.00,2602_sap_dnn_0.00_airplane_10_n02690373_4183.png
