subj,session,trial,rt,object_response,category,condition,imagename
sixteen26--grayscale,1,1,NaN,knife,knife,0.00,0001_sap_dnn_0.00_knife_10_n03041632_15431.png
sixteen26--grayscale,1,2,NaN,chair,knife,0.00,0002_sap_dnn_0.00_knife_10_n03041632_44212.png
sixteen26--grayscale,1,3,NaN,knife,knife,0.00,0003_sap_dnn_0.00_knife_10_n03041632_16606.png
sixteen26--grayscale,1,4,NaN,knife,knife,0.00,0004_sap_dnn_0.00_knife_10_n03041632_20504.png
sixteen26--grayscale,1,5,NaN,knife,knife,0.00,0005_sap_dnn_0.00_knife_10_n03041632_4708.png
sixteen26--grayscale,1,6,NaN,knife,knife,0.00,0006_sap_dnn_0.00_knife_10_n03041632_43634.png
sixteen26--grayscale,1,7,NaN,knife,knife,0.00,0007_sap_dnn_0.00_knife_10_n03041632_52040.png
sixteen26--grayscale,1,8,NaN,knife,knife,0.00,0008_sap_dnn_0.00_knife_10_n03041632_21859.png
sixteen26--grayscale,1,9,NaN,bottle,knife,0.00,0009_sap_dnn_0.00_knife_10_n03041632_22330.png
sixteen26--grayscale,1,10,NaN,boat,knife,0.00,0010_sap_dnn_0.00_knife_10_n03041632_55140.png
sixteen26--grayscale,1,11,NaN,keyboard,keyboard,0.00,0011_sap_dnn_0.00_keyboard_10_n04505470_1568.png
sixteen26--grayscale,1,12,NaN,keyboard,keyboard,0.00,0012_sap_dnn_0.00_keyboard_10_n03085013_21880.png
sixteen26--grayscale,1,13,NaN,keyboard,keyboard,0.00,0013_sap_dnn_0.00_keyboard_10_n04505470_4592.png
sixteen26--grayscale,1,14,NaN,keyboard,keyboard,0.00,0014_sap_dnn_0.00_keyboard_10_n03085013_23749.png
sixteen26--grayscale,1,15,NaN,bottle,keyboard,0.00,0015_sap_dnn_0.00_keyboard_10_n04505470_5151.png
sixteen26--grayscale,1,16,NaN,keyboard,keyboard,0.00,0016_sap_dnn_0.00_keyboard_10_n03085013_22386.png
sixteen26--grayscale,1,17,NaN,keyboard,keyboard,0.00,0017_sap_dnn_0.00_keyboard_10_n03085013_4999.png
sixteen26--grayscale,1,18,NaN,keyboard,keyboard,0.00,0018_sap_dnn_0.00_keyboard_10_n03085013_30166.png
sixteen26--grayscale,1,19,NaN,bottle,keyboard,0.00,0019_sap_dnn_0.00_keyboard_10_n03085013_20186.png
sixteen26--grayscale,1,20,NaN,truck,keyboard,0.00,0020_sap_dnn_0.00_keyboard_10_n03085013_5141.png
sixteen26--grayscale,1,21,NaN,elephant,elephant,0.00,0021_sap_dnn_0.00_elephant_10_n02504458_4939.png
sixteen26--grayscale,1,22,NaN,elephant,elephant,0.00,0022_sap_dnn_0.00_elephant_10_n02504013_5734.png
sixteen26--grayscale,1,23,NaN,elephant,elephant,0.00,0023_sap_dnn_0.00_elephant_10_n02504013_10303.png
