subj,session,trial,rt,object_response,category,condition,imagename
sixteen30--color--uniform-noise-multiple--200epochs,1,1,NaN,knife,knife,0.00,0001_sap_dnn_0.00_knife_10_n03041632_15431.png
sixteen30--color--uniform-noise-multiple--200epochs,1,2,NaN,knife,knife,0.00,0002_sap_dnn_0.00_knife_10_n03041632_44212.png
sixteen30--color--uniform-noise-multiple--200epochs,1,3,NaN,knife,knife,0.00,0003_sap_dnn_0.00_knife_10_n03041632_16606.png
sixteen30--color--uniform-noise-multiple--200epochs,1,4,NaN,knife,knife,0.00,0004_sap_dnn_0.00_knife_10_n03041632_20504.png
sixteen30--color--uniform-noise-multiple--200epochs,1,5,NaN,knife,knife,0.00,0005_sap_dnn_0.00_knife_10_n03041632_4708.png
sixteen30--color--uniform-noise-multiple--200epochs,1,6,NaN,knife,knife,0.00,0006_sap_dnn_0.00_knife_10_n03041632_43634.png
sixteen30--color--uniform-noise-multiple--200epochs,1,7,NaN,knife,knife,0.00,0007_sap_dnn_0.00_knife_10_n03041632_52040.png
sixteen30--color--uniform-noise-multiple--200epochs,1,8,NaN,knife,knife,0.00,0008_sap_dnn_0.00_knife_10_n03041632_21859.png
sixteen30--color--uniform-noise-multiple--200epochs,1,9,NaN,knife,knife,0.00,0009_sap_dnn_0.00_knife_10_n03041632_22330.png
sixteen30--color--uniform-noise-multiple--200epochs,1,10,NaN,knife,knife,0.00,0010_sap_dnn_0.00_knife_10_n03041632_55140.png
sixteen30--color--uniform-noise-multiple--200epochs,1,11,NaN,keyboard,keyboard,0.00,0011_sap_dnn_0.00_keyboard_10_n04505470_1568.png
sixteen30--color--uniform-noise-multiple--200epochs,1,12,NaN,keyboard,keyboard,0.00,0012_sap_dnn_0.00_keyboard_10_n03085013_21880.png
sixteen30--color--uniform-noise-multiple--200epochs,1,13,NaN,keyboard,keyboard,0.00,0013_sap_dnn_0.00_keyboard_10_n04505470_4592.png
sixteen30--color--uniform-noise-multiple--200epochs,1,14,NaN,keyboard,keyboard,0.00,0014_sap_dnn_0.00_keyboard_10_n03085013_23749.png
sixteen30--color--uniform-noise-multiple--200epochs,1,15,NaN,keyboard,keyboard,0.00,0015_sap_dnn_0.00_keyboard_10_n04505470_5151.png
sixteen30--color--uniform-noise-multiple--200epochs,1,16,NaN,keyboard,keyboard,0.00,0016_sap_dnn_0.00_keyboard_10_n03085013_22386.png
sixteen30--color--uniform-noise-multiple--200epochs,1,17,NaN,keyboard,keyboard,0.00,0017_sap_dnn_0.00_keyboard_10_n03085013_4999.png
sixteen30--color--uniform-noise-multiple--200epochs,1,18,NaN,keyboard,keyboard,0.00,0018_sap_dnn_0.00_keyboard_10_n03085013_30166.png
sixteen30--color--uniform-noise-multiple--200epochs,1,19,NaN,bottle,keyboard,0.00,0019_sap_dnn_0.00_keyboard_10_n03085013_20186.png
sixteen30--color--uniform-noise-multiple--200epochs,1,20,NaN,keyboard,keyboard,0.00,0020_sap_dnn_0.00_keyboard_10_n03085013_5141.png
