subj,session,trial,rt,object_response,category,condition,imagename
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,1,NaN,knife,knife,0.00,6401_sap_dnn_0.00_knife_10_n03041632_14801.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,2,NaN,knife,knife,0.00,6402_sap_dnn_0.00_knife_10_n03041632_49513.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,3,NaN,knife,knife,0.00,6403_sap_dnn_0.00_knife_10_n03041632_86783.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,4,NaN,knife,knife,0.00,6404_sap_dnn_0.00_knife_10_n03041632_93026.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,5,NaN,knife,knife,0.00,6405_sap_dnn_0.00_knife_10_n03041632_30801.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,6,NaN,knife,knife,0.00,6406_sap_dnn_0.00_knife_10_n03041632_18141.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,7,NaN,knife,knife,0.00,6407_sap_dnn_0.00_knife_10_n03041632_18304.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,8,NaN,knife,knife,0.00,6408_sap_dnn_0.00_knife_10_n03041632_24264.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,9,NaN,knife,knife,0.00,6409_sap_dnn_0.00_knife_10_n03041632_105081.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,10,NaN,knife,knife,0.00,6410_sap_dnn_0.00_knife_10_n03041632_84086.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,11,NaN,keyboard,keyboard,0.00,6411_sap_dnn_0.00_keyboard_10_n04505470_147.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,12,NaN,keyboard,keyboard,0.00,6412_sap_dnn_0.00_keyboard_10_n03085013_18746.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,13,NaN,keyboard,keyboard,0.00,6413_sap_dnn_0.00_keyboard_10_n03085013_15530.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,14,NaN,keyboard,keyboard,0.00,6414_sap_dnn_0.00_keyboard_10_n04505470_1374.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,15,NaN,keyboard,keyboard,0.00,6415_sap_dnn_0.00_keyboard_10_n04505470_112.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,16,NaN,keyboard,keyboard,0.00,6416_sap_dnn_0.00_keyboard_10_n04505470_5043.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,17,NaN,keyboard,keyboard,0.00,6417_sap_dnn_0.00_keyboard_10_n03085013_30335.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,18,NaN,keyboard,keyboard,0.00,6418_sap_dnn_0.00_keyboard_10_n04505470_2232.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,19,NaN,keyboard,keyboard,0.00,6419_sap_dnn_0.00_keyboard_10_n03085013_24295.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,20,NaN,keyboard,keyboard,0.00,6420_sap_dnn_0.00_keyboard_10_n03085013_31364.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,21,NaN,elephant,elephant,0.00,6421_sap_dnn_0.00_elephant_10_n02504013_8780.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,22,NaN,elephant,elephant,0.00,6422_sap_dnn_0.00_elephant_10_n02504458_5176.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,23,NaN,elephant,elephant,0.00,6423_sap_dnn_0.00_elephant_10_n02504013_18224.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,24,NaN,elephant,elephant,0.00,6424_sap_dnn_0.00_elephant_10_n02504013_4895.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,25,NaN,elephant,elephant,0.00,6425_sap_dnn_0.00_elephant_10_n02504013_4071.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,26,NaN,elephant,elephant,0.00,6426_sap_dnn_0.00_elephant_10_n02504013_2432.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,27,NaN,elephant,elephant,0.00,6427_sap_dnn_0.00_elephant_10_n02504458_5251.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,28,NaN,bear,elephant,0.00,6428_sap_dnn_0.00_elephant_10_n02504013_5904.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,29,NaN,elephant,elephant,0.00,6429_sap_dnn_0.00_elephant_10_n02504458_11382.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,30,NaN,elephant,elephant,0.00,6430_sap_dnn_0.00_elephant_10_n02504458_6464.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,31,NaN,bicycle,bicycle,0.00,6431_sap_dnn_0.00_bicycle_10_n02835271_6539.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,32,NaN,bicycle,bicycle,0.00,6432_sap_dnn_0.00_bicycle_10_n03792782_4544.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,33,NaN,bicycle,bicycle,0.00,6433_sap_dnn_0.00_bicycle_10_n02835271_2686.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,6,34,NaN,bicycle,bicycle,0.00,6434_sap_dnn_0.00_bicycle_10_n02835271_6789.png
