subj,session,trial,rt,object_response,category,condition,imagename
specialised,1,1,,knife,knife,0.0,0001_sap_dnn_0.00_knife_10_n03041632_15431.png
specialised,1,2,,knife,knife,0.0,0002_sap_dnn_0.00_knife_10_n03041632_44212.png
specialised,1,3,,knife,knife,0.0,0003_sap_dnn_0.00_knife_10_n03041632_16606.png
specialised,1,4,,knife,knife,0.0,0004_sap_dnn_0.00_knife_10_n03041632_20504.png
specialised,1,5,,keyboard,knife,0.0,0005_sap_dnn_0.00_knife_10_n03041632_4708.png
specialised,1,6,,knife,knife,0.0,0006_sap_dnn_0.00_knife_10_n03041632_43634.png
specialised,1,7,,knife,knife,0.0,0007_sap_dnn_0.00_knife_10_n03041632_52040.png
specialised,1,8,,knife,knife,0.0,0008_sap_dnn_0.00_knife_10_n03041632_21859.png
specialised,1,9,,oven,knife,0.0,0009_sap_dnn_0.00_knife_10_n03041632_22330.png
specialised,1,10,,knife,knife,0.0,0010_sap_dnn_0.00_knife_10_n03041632_55140.png
specialised,1,11,,keyboard,keyboard,0.0,0011_sap_dnn_0.00_keyboard_10_n04505470_1568.png
specialised,1,12,,keyboard,keyboard,0.0,0012_sap_dnn_0.00_keyboard_10_n03085013_21880.png
specialised,1,13,,keyboard,keyboard,0.0,0013_sap_dnn_0.00_keyboard_10_n04505470_4592.png
specialised,1,14,,keyboard,keyboard,0.0,0014_sap_dnn_0.00_keyboard_10_n03085013_23749.png
specialised,1,15,,car,keyboard,0.0,0015_sap_dnn_0.00_keyboard_10_n04505470_5151.png
specialised,1,16,,bear,keyboard,0.0,0016_sap_dnn_0.00_keyboard_10_n03085013_22386.png
specialised,1,17,,keyboard,keyboard,0.0,0017_sap_dnn_0.00_keyboard_10_n03085013_4999.png
specialised,1,18,,keyboard,keyboard,0.0,0018_sap_dnn_0.00_keyboard_10_n03085013_30166.png
specialised,1,19,,bottle,keyboard,0.0,0019_sap_dnn_0.00_keyboard_10_n03085013_20186.png
specialised,1,20,,keyboard,keyboard,0.0,0020_sap_dnn_0.00_keyboard_10_n03085013_5141.png
specialised,1,21,,elephant,elephant,0.0,0021_sap_dnn_0.00_elephant_10_n02504458_4939.png
specialised,1,22,,elephant,elephant,0.0,0022_sap_dnn_0.00_elephant_10_n02504013_5734.png
specialised,1,23,,elephant,elephant,0.0,0023_sap_dnn_0.00_elephant_10_n02504013_10303.png
specialised,1,24,,elephant,elephant,0.0,0024_sap_dnn_0.00_elephant_10_n02504013_6462.png
specialised,1,25,,elephant,elephant,0.0,0025_sap_dnn_0.00_elephant_10_n02504458_2841.png
specialised,1,26,,bird,elephant,0.0,0026_sap_dnn_0.00_elephant_10_n02504013_10310.png
specialised,1,27,,oven,elephant,0.0,0027_sap_dnn_0.00_elephant_10_n02504458_5600.png
specialised,1,28,,elephant,elephant,0.0,0028_sap_dnn_0.00_elephant_10_n02504013_9614.png
specialised,1,29,,elephant,elephant,0.0,0029_sap_dnn_0.00_elephant_10_n02504458_5331.png
specialised,1,30,,elephant,elephant,0.0,0030_sap_dnn_0.00_elephant_10_n02504013_7368.png
specialised,1,31,,bicycle,bicycle,0.0,0031_sap_dnn_0.00_bicycle_10_n02835271_22996.png
specialised,1,32,,bicycle,bicycle,0.0,0032_sap_dnn_0.00_bicycle_10_n03792782_4550.png
specialised,1,33,,bird,bicycle,0.0,0033_sap_dnn_0.00_bicycle_10_n03792782_16351.png
specialised,1,34,,bicycle,bicycle,0.0,0034_sap_dnn_0.00_bicycle_10_n03792782_18734.png
specialised,1,35,,bicycle,bicycle,0.0,0035_sap_dnn_0.00_bicycle_10_n02835271_7597.png
specialised,1,36,,bicycle,bicycle,0.0,0036_sap_dnn_0.00_bicycle_10_n03792782_7108.png
specialised,1,37,,bicycle,bicycle,0.0,0037_sap_dnn_0.00_bicycle_10_n03792782_15808.png
specialised,1,38,,bicycle,bicycle,0.0,0038_sap_dnn_0.00_bicycle_10_n03792782_5323.png
specialised,1,39,,bicycle,bicycle,0.0,0039_sap_dnn_0.00_bicycle_10_n03792782_6194.png
specialised,1,40,,bicycle,bicycle,0.0,0040_sap_dnn_0.00_bicycle_10_n03792782_613.png
specialised,1,41,,airplane,airplane,0.0,0041_sap_dnn_0.00_airplane_10_n02690373_6147.png
specialised,1,42,,airplane,airplane,0.0,0042_sap_dnn_0.00_airplane_10_n02690373_243.png
specialised,1,43,,airplane,airplane,0.0,0043_sap_dnn_0.00_airplane_10_n02690373_10112.png
specialised,1,44,,airplane,airplane,0.0,0044_sap_dnn_0.00_airplane_10_n02690373_4243.png
specialised,1,45,,airplane,airplane,0.0,0045_sap_dnn_0.00_airplane_10_n02690373_11799.png
